url;titulo;categoria;data;imagem;descricao_imagem;descricao
https://www.cnnbrasil.com.br/esportes/futebol/corinthians/diniz-fala-sobre-rejeicao-e-recorda-inicio-de-tite-lembram-do-tolima/;"Diniz fala sobre rejeição e recorda início de Tite: ""Lembram do Tolima?""";Corinthians;07/04/2026 15:56;https://admin.cnnbrasil.com.br/wp-content/uploads/sites/12/2026/04/fernando-diniz-treino-corinthians-e1775582845301.jpg?w=419&h=249&crop=1;Fernando Diniz em treino do Corinthians;Técnico foi apresentado pelo Corinthians e concedeu entrevista coletiva nesta terça-feira (7)
https://www.cnnbrasil.com.br/esportes/brasileirao/vasco-empata-com-o-remo-e-segue-sem-vencer-como-visitante-no-brasileirao/;Vasco empata com o Remo e segue sem vencer como visitante no Brasileirão;Brasileirão;11/04/2026 19:18;https://admin.cnnbrasil.com.br/wp-content/uploads/sites/12/2026/04/Vasco_Comemora-e1775945827561.jpeg?w=419&h=249&crop=1;Vasco Comemora;"Cruzmaltino sai na frente já no segundo tempo, mas sofre empate de bola parada e leva um ponto para o Rio de Janeiro
"
https://www.cnnbrasil.com.br/esportes/futebol/gremio/arthur-pode-deixar-o-gremio-entenda-situacao-com-a-juventus/;Arthur pode deixar o Grêmio? Entenda situação com a Juventus;Grêmio;07/04/2026 15:47;https://admin.cnnbrasil.com.br/wp-content/uploads/sites/12/2025/10/arthur_gremio-e1759613024561.jpeg?w=419&h=249&crop=1;Arthur, do Grêmio, em aquecimento;Volante e capitão tricolor está emprestado pelo clube italiano até a parada para a Copa do Mundo
https://www.cnnbrasil.com.br/esportes/futebol/corinthians/corinthians-sem-pontas-diniz-comenta-adaptacao-de-estilo-de-jogo-ao-elenco/;Corinthians sem pontas? Diniz comenta adaptação de estilo de jogo ao elenco;Corinthians;07/04/2026 15:33;https://admin.cnnbrasil.com.br/wp-content/uploads/sites/12/2026/04/fernando-diniz-apresentacao-corinthians-e1775586785570.jpeg?w=419&h=249&crop=1;Fernando Diniz na apresentação oficial do Corinthians;Novo treinador do Timão foi apresentado nesta terça-feira (7)
https://www.cnnbrasil.com.br/esportes/futebol/corinthians/fernando-diniz-fala-em-construir-uma-historia-com-memphis-no-corinthians/;"Fernando Diniz fala em ""construir uma história"" com Memphis no Corinthians";Corinthians;07/04/2026 15:31;https://admin.cnnbrasil.com.br/wp-content/uploads/sites/12/2026/02/memphis-depay-corinthians.webp?w=419&h=249&crop=1;Memphis Depay, atacante do Corinthians.;Técnico recém-chegado ao Corinthians torce pela permanência do craque holandês, que tem contrato até o meio do ano
https://www.cnnbrasil.com.br/esportes/futebol/corinthians/fernando-diniz-e-apresentado-e-diz-que-corinthians-tem-que-pensar-em-titulo/;Fernando Diniz é apresentado e diz que Corinthians tem que pensar em título;Corinthians;07/04/2026 15:12;https://admin.cnnbrasil.com.br/wp-content/uploads/sites/12/2026/04/fernando-diniz-apresentacao-corinthians-e1775584881434.jpg?w=419&h=249&crop=1;Fernando Diniz durante coletiva de apresentação no Corinthians;Técnico concedeu sua primeira entrevista coletiva pelo clube paulista nesta terça-feira (7)
https://www.cnnbrasil.com.br/esportes/futebol/corinthians/paz-explica-opcao-por-diniz-e-diz-o-que-vencemos-ja-passou/;"Paz explica opção por Diniz e diz: “O que vencemos já passou""";Corinthians;07/04/2026 15:12;https://admin.cnnbrasil.com.br/wp-content/uploads/sites/12/2026/04/Paz-diniz-e-Stabile-e1775585513934.jpeg?w=419&h=249&crop=1;Paz, diniz e Stábile;Diretor executivo de futebol do Corinthians falou sobre novo treinador
https://www.cnnbrasil.com.br/esportes/futebol/flamengo/neymar-no-flamengo-braz-revela-tratativa-com-pai-do-craque-na-epoca-do-psg/;Neymar no Flamengo? Braz revela tratativa com pai do craque na época do PSG;Flamengo;07/04/2026 14:15;https://admin.cnnbrasil.com.br/wp-content/uploads/sites/12/2023/07/Neymar-Reproducao-Instagram-e1688394749817.jpg?w=419&h=249&crop=1;Neymar se declarou pelo Flamengo ao autografar camisa de torcedora rubro-negra;Clube buscou alternativas, mas esbarrou em contrato e custos
https://www.cnnbrasil.com.br/esportes/futebol/selecao-brasileira/selecao-feminina-inicia-preparacao-para-a-fifa-series-confira-programacao/;"Seleção feminina inicia preparação para a Fifa Series; confira programação";Seleção Brasileira;07/04/2026 14:14;https://admin.cnnbrasil.com.br/wp-content/uploads/sites/12/2026/04/ary-borges-selecao-feminina-e1775581980613.jpg?w=419&h=249&crop=1;Ary Borges já se juntou a delegação em Cuiabá;Seleção encara Coreia do Sul no dia 11, a Zâmbia no dia 14 e o Canadá no dia 18, em amistosos na Arena Pantanal
https://www.cnnbrasil.com.br/esportes/futebol/corinthians/ao-vivo-siga-a-coletiva-de-apresentacao-de-fernando-diniz-no-corinthians/;AO VIVO: siga a coletiva de apresentação de Fernando Diniz no Corinthians;Corinthians;07/04/2026 14:13;https://admin.cnnbrasil.com.br/wp-content/uploads/sites/12/2026/04/Diniz-no-Corinthians-e1775528526150.jpg?w=419&h=249&crop=1;Fernando Diniz com a camisa dos tempos em que atuou pelo Corinthians;Treinador chega ao Timão após a demissão de Dorival Júnior no último domingo
